Gate,Weight,Required answer,Evidence required,Automatic fail,Owner,Status
Exact entity and role,5,"Name every legal entity, owner, facility, and role","Formation records; ownership; addresses; signed role matrix","Hidden principal, nominee, or entity-role mismatch",Legal,Not started
Lawful product pathway,15,"Classify the exact product, route, customer, claims, states, and seller","Written specialist-counsel classification; official registry support","No defensible pathway or reliance on disclaimer alone",Legal/Regulatory,Not started
Licenses and registrations,10,"List every active federal and state license/registration required","Primary registry extracts; license numbers; expiry; discipline history","Inactive, wrong-state, restricted, or unverifiable authority",Regulatory,Not started
Inspection and enforcement history,8,"Disclose inspections, 483s, warnings, recalls, detentions, discipline, and CAPAs","Official records; responses; CAPA effectiveness evidence","Unresolved OAI, data-integrity, sterility, or enforcement issue",Quality,Not started
Quality system,12,"Describe deviations, OOS, CAPA, change control, subcontractors, and record retention","SOP index; audit report; quality manual; sample records","No auditable quality system or undisclosed subcontracting",Quality,Not started
Product specifications and testing,12,"Define identity, assay/content, purity, contaminants, microbiology, stability, and release criteria as applicable","Specifications; three representative lot files; raw data; independent verification","COA-only proof, failed lot, sample/lot mismatch, or missing raw data",Quality,Not started
Traceability and recall,10,"Demonstrate one-up/one-down genealogy and four-hour lot/customer retrieval","Mock recall; inventory ledger; customer/lot report; quarantine/destruction SOP","Cannot trace or recall the sold lot",Operations/Quality,Not started
Stability and shipping,6,"Validate shelf life, package compatibility, shipping lanes, excursions, and cold chain where applicable","Protocols/reports; lane studies; excursion records; packaging qualification","No validated conditions for marketed shelf life or route",Quality/Operations,Not started
Capacity and SLA,6,"State lead times, capacity, fill rates, failure recovery, and continuity","Capacity evidence; service levels; business continuity; reference calls","MOQ or dependency creates unrecoverable concentration risk",Operations,Not started
Claims and content governance,5,"Accept approval rights over labels, pages, ads, creators, testimonials, and changes","Claims matrix; substantiation file; approval/takedown workflow","Vendor promotes prohibited claims or refuses controls",Regulatory/Growth,Not started
Complaints and adverse events,4,"Define intake, triage, escalation, trending, CAPA, and reporting duties","SOPs; sample logs; reporting timeline; responsible person","No defined safety escalation or statutory reporting owner",Quality/Support,Not started
Insurance and indemnity,4,"Confirm coverage for the actual product, route, claims, recall, professional, and cyber exposure","Carrier-verified policies/endorsements; exclusions; indemnity","Actual activity is excluded and no funded alternative is approved",Finance/Legal,Not started
Data and security,2,"Define data fields, access, encryption, retention, deletion, incidents, and portability","DPA/BAA as applicable; security report; incident history; export sample","Unnecessary health-data sharing, no portability, or undisclosed secondary use",Security/Legal,Not started
Commercial pilot,1,"Offer a capped, nonexclusive pilot with no material prepayment or long lock-in","Quote; SLA; termination rights; change-control terms","Demands material exclusivity or inventory before qualification",Finance/Operations,Not started
