"category","criterion","weight","fatal_gate","pass_condition","evidence_required","verification_method","owner","status","notes"
"legal","Exact contracting entity and jurisdiction","4","yes","Entity is active and matches contracts invoices and payment instructions","Formation records tax record and signed contract","Verify against primary registry and bank details","legal","not_started","No vendor exists today"
"legal","Beneficial owners and control persons","3","yes","Owners and control persons are fully disclosed","Ownership chart IDs and attestations","Independent KYC and sanctions review","legal","not_started",""
"legal","Actual manufacturer disclosed","5","yes","Manufacturing entity and physical site are identified","Site record manufacturing agreement and address evidence","Direct confirmation and risk-based site audit","quality","not_started",""
"legal","Material classification and permitted transaction","5","yes","Specialized counsel approves exact material format audience and flow","Written counsel memorandum by item","Counsel review of complete intended-use context","legal","not_started",""
"legal","Import and customs pathway","3","yes","Importer broker classification and documentation are approved","Written broker guidance importer record and tariff analysis","Independent customs review","legal","not_started",""
"quality","Quality agreement and change notification","4","yes","Signed agreement defines responsibilities deviations records and change notice","Executed quality agreement","Legal and quality review","quality","not_started",""
"quality","Versioned specification control","4","yes","Each item has approved acceptance criteria and change history","Controlled specifications and revision log","Document-control audit","quality","not_started",""
"quality","Sample identity and chain of custody","5","yes","Every sample is traceable from item through laboratory and report","Custody forms seals shipment and receipt records","Trace one test sample end to end","quality","not_started",""
"quality","Identity method fitness","4","yes","Independent method is fit for the exact analyte and question","Method protocol validation or suitability record and raw data","Independent laboratory and SME review","quality","not_started",""
"quality","Purity method fitness","3","yes","Method and acceptance criteria are defined without overstating scope","Method chromatogram integration rules and original report","Independent analytical review","quality","not_started",""
"quality","Mass or content method fitness","4","yes","Quantitative question is answered by an appropriate method","Method original result and uncertainty where applicable","Independent analytical review","quality","not_started",""
"quality","Contaminant panel rationale","3","yes","Risk-based panel is documented for the exact material and model","Risk assessment methods and reports","Quality and counsel review","quality","not_started",""
"quality","Original data access","3","yes","OVO Labs can inspect original data and report provenance","Data-access clause raw files and audit trail","Request and verify a complete sample package","quality","not_started",""
"quality","Deviation and out-of-specification cooperation","3","yes","Vendor provides timely investigation and disposition records","Procedure sample investigation and contractual timeline","Tabletop deviation exercise","quality","not_started",""
"quality","Complaint withdrawal and recall cooperation","4","yes","Vendor can trace contain notify and support a recall","Procedures contact tree and simulation report","Timed mock recall","quality","not_started",""
"operations","Capacity and batch-size fit","3","no","Capacity matches approved demand without undocumented subcontracting","Capacity statement schedule and subcontractor list","Reference checks and pilot history","operations","not_started",""
"operations","Lead-time reliability","3","no","Three controlled pilot deliveries meet tolerance","Purchase shipment and receipt history","Compare committed versus actual dates","operations","not_started",""
"operations","Storage and transport controls","3","yes","Requirements are defined monitored and exception-managed","Storage map logger records and shipping qualification","Facility review and shipment challenge","operations","not_started",""
"operations","Packaging and labeling control","2","yes","Identity and handling labels are accurate controlled and reconciled","Artwork control line-clearance and reconciliation records","Observe controlled pilot process","quality","not_started",""
"operations","Quantity reconciliation","2","yes","Ordered received released rejected and remaining quantities reconcile","Batch and inventory ledgers","Reperform reconciliation","finance","not_started",""
"continuity","Second source or contingency","4","no","Critical failure has a documented alternative or exit plan","Approved backup capacity or contingency plan","Scenario test","operations","not_started",""
"continuity","Change-notification lead time","2","yes","Material site method and process changes require prior notice","Contract clause and prior examples","Contract and history review","quality","not_started",""
"continuity","Data and record retention","3","yes","Critical records remain retrievable for the required period","Retention policy backup evidence and retrieval test","Retrieve a historical sample record","security","not_started",""
"financial","Transparent landed economics","4","no","All item testing freight duties fees and reserves are modeled","Quotes invoices tariffs fee schedules and assumptions","Recalculate landed cost","finance","not_started",""
"financial","Banking and payment identity consistency","2","yes","Payee bank and contracting entity match or documented exception is approved","Bank letter invoices and contract","Independent confirmation using known contact","finance","not_started",""
"financial","Insurance and indemnity","3","yes","Coverage and contractual allocation match the exact work","Certificates policy endorsements and indemnity terms","Broker and counsel verification","legal","not_started",""
"security","Restricted-party and sanctions screening","3","yes","Entity owners affiliates and payment recipients clear screening","Screening reports and beneficial-owner data","Independent screening at onboarding and refresh","legal","not_started",""
"security","Information-security baseline","3","no","Access logging encryption backup and incident response meet requirements","Policies architecture evidence and recent assessment","Security questionnaire and targeted test","security","not_started",""
"security","Critical record access control","2","yes","Only authorized roles can alter specifications reports and release states","Role matrix access logs and approval workflow","Sample access review","security","not_started",""
"ethics","No misleading claims or channel concealment","4","yes","Vendor does not require or encourage false descriptions coded marketing or unsupported claims","Public materials contracts and written attestations","Public-site review interviews and contract clause","legal","not_started",""
"total","Maximum weighted score","100","yes","All fatal gates pass and weighted score meets approved threshold","Complete evidence file","Independent cross-functional approval","executive","not_started","Suggested threshold 85 with no fatal-gate failure"
