Public popularity rank,Public catalog label,Starting public price,Highest observed public variant price,Demand cluster,Modeled portfolio role,Evidence class by field,Snapshot time,Interpretation limit
1,GLP-3R / retatrutide,37.99,164.99,Body composition,Primary attention and GMV anchor,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity order is sales-informed but reveals no units, dollars, date range, or customer count"
2,BAC Water,24.99,24.99,Basket utility,Low-friction add-on and basket signal,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Surrounding catalog context can increase intended-use exposure; rank is not unit volume"
3,GHK-CU,29.99,44.99,Appearance,Appearance hero and lawful topical-cosmetic bridge,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Catalog demand does not prove demand for any specific successor formulation"
4,Tesamorelin,43.99,109.99,Body composition,Higher-value body-composition extension,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
5,MOTS-c,33.99,85.99,Energy/longevity,Performance and longevity hero,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
6,GLP-2T / tirzepatide,34.99,84.99,Body composition,Secondary body-composition anchor,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
7,NAD+ buffered,43.99,84.99,Energy/longevity,Basket builder and repeat-interest signal,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
8,GLOW,77.99,77.99,Appearance,Pre-bundled premium appearance offer,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
9,BPC-157 + TB-500,47.99,179.99,Recovery,Recovery hero,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
10,KLOW,97.99,97.99,Appearance/longevity,High-AOV premium bundle,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
11,Semax,24.99,69.99,Cognition/performance,Entry-price long tail,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
12,HGH / somatropin,149.99,349.99,Body composition/performance,Premium specialty item,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
13,BPC-157,27.99,99.99,Recovery,Entry-price recovery item,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
14,MT-2,27.99,27.99,Appearance,Entry-price appearance item,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
15,5-Amino-1MQ,29.99,67.99,Body composition,Entry-price body-composition item,"Rank/price publicly observed; cluster strategically inferred; role modeled",2026-07-22 18:19:22 PDT,"Popularity rank is relative only"
